time,price,size,is_buyer_maker
1785948795.395,64624.22,8e-05,False
1785948795.395,64624.22,0.00016,False
1785948795.395,64624.22,8e-05,False
1785948795.395,64624.22,8e-05,False
1785948795.395,64624.22,0.00773,False
1785948795.395,64624.22,8e-05,False
1785948795.395,64624.22,8e-05,False
1785948795.395,64624.22,0.00048,False
1785948795.395,64624.22,0.00498,False
1785948795.395,64624.22,8e-05,False
1785948795.395,64624.22,0.14475,False
1785948795.395,64624.22,8e-05,False
1785948795.395,64624.22,8e-05,False
1785948795.395,64624.22,8e-05,False
1785948795.395,64624.22,8e-05,False
1785948795.395,64624.22,8e-05,False
1785948795.395,64624.22,8e-05,False
1785948795.395,64624.22,9e-05,False
1785948795.395,64624.22,9e-05,False
1785948795.395,64624.22,8e-05,False
1785948795.395,64624.22,9e-05,False
1785948795.395,64624.22,9e-05,False
1785948795.395,64624.22,9e-05,False
1785948795.395,64624.22,9e-05,False
1785948795.395,64624.22,9e-05,False
1785948795.395,64624.22,9e-05,False
1785948795.395,64624.22,9e-05,False
1785948795.395,64624.22,9e-05,False
1785948795.395,64624.22,9e-05,False
1785948795.395,64624.22,9e-05,False
1785948795.395,64624.22,9e-05,False
1785948795.395,64624.22,9e-05,False
1785948795.395,64624.22,0.1589,False
1785948795.395,64624.22,0.0007,False
1785948795.395,64624.22,0.00017,False
1785948795.395,64624.22,8e-05,False
1785948795.395,64624.22,9e-05,False
1785948795.395,64624.22,9e-05,False
1785948795.395,64624.22,9e-05,False
1785948795.395,64624.22,8e-05,False
1785948795.395,64624.22,8e-05,False
1785948795.395,64624.22,8e-05,False
1785948795.395,64624.22,8e-05,False
1785948795.395,64624.22,8e-05,False
1785948795.395,64624.22,8e-05,False
1785948795.395,64624.23,0.00016,False
1785948795.395,64624.23,9e-05,False
1785948795.395,64624.23,9e-05,False
1785948795.395,64624.23,8e-05,False
1785948795.395,64624.23,8e-05,False
1785948795.395,64624.23,8e-05,False
1785948795.395,64624.23,8e-05,False
1785948795.395,64624.23,8e-05,False
1785948795.395,64624.23,8e-05,False
1785948795.395,64624.24,0.00016,False
1785948795.395,64624.38,8e-05,False
1785948795.395,64624.38,8e-05,False
1785948795.395,64625.25,8e-05,False
1785948795.395,64625.25,8e-05,False
1785948795.395,64625.25,8e-05,False
1785948795.395,64625.25,8e-05,False
1785948795.395,64625.25,8e-05,False
1785948795.395,64625.51,8e-05,False
1785948795.395,64625.51,0.00016,False
1785948795.395,64625.51,8e-05,False
1785948795.395,64625.52,0.00415,False
1785948795.395,64625.86,8e-05,False
1785948795.395,64626.01,8e-05,False
1785948795.395,64626.01,8e-05,False
1785948795.395,64626.01,8e-05,False
1785948795.395,64626.01,8e-05,False
1785948795.395,64626.01,8e-05,False
1785948795.395,64626.69,9e-05,False
1785948795.395,64626.69,9e-05,False
1785948795.395,64626.69,9e-05,False
1785948795.395,64626.7,0.11042,False
1785948795.95,64626.69,0.00077,True
1785948796.541,64626.7,9e-05,False
1785948796.541,64626.7,9e-05,False
1785948796.541,64626.7,0.05972,False
1785948796.721,64626.7,0.09918,False
1785948796.721,64626.7,9e-05,False
1785948796.721,64626.7,9e-05,False
1785948796.721,64626.7,8e-05,False
1785948796.721,64626.7,8e-05,False
1785948796.721,64626.7,8e-05,False
1785948796.721,64626.7,8e-05,False
1785948796.721,64626.7,8e-05,False
1785948796.721,64626.7,8e-05,False
1785948796.721,64626.7,8e-05,False
1785948796.721,64626.7,8e-05,False
1785948796.721,64626.7,8e-05,False
1785948796.721,64626.7,0.0552,False
1785948796.774,64626.69,0.00232,True
1785948798.089,64626.7,8e-05,False
1785948798.089,64626.7,9e-05,False
1785948798.089,64626.7,8e-05,False
1785948798.089,64626.7,0.00068,False
1785948798.089,64626.7,0.00047,False
1785948798.089,64626.7,8e-05,False
1785948798.089,64626.7,8e-05,False
1785948798.089,64626.7,8e-05,False
1785948798.089,64626.7,9e-05,False
1785948798.089,64626.7,9e-05,False
1785948798.089,64626.7,8e-05,False
1785948798.089,64626.7,8e-05,False
1785948798.089,64626.7,9e-05,False
1785948798.089,64626.7,8e-05,False
1785948798.089,64626.7,8e-05,False
1785948798.089,64626.7,8e-05,False
1785948798.089,64626.7,8e-05,False
1785948798.089,64626.7,0.00017,False
1785948798.089,64626.7,0.00016,False
1785948798.089,64626.7,8e-05,False
1785948798.089,64626.7,8e-05,False
1785948798.089,64626.7,8e-05,False
1785948798.089,64626.7,8e-05,False
1785948798.089,64626.71,9e-05,False
1785948798.089,64626.71,9e-05,False
1785948798.089,64626.71,8e-05,False
